Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Powertrain Type
Audi,RS 6 Avant,2021,4.0,591.0,590.0,3.5,110000.0,ICE
Bentley,Continental GT Speed,2022,6.0,650.0,664.0,3.5,300000.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,68000.0,ICE
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,65000.0,ICE
Ford,GT,2021,3.5,660.0,550.0,2.9,500000.0,ICE
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92000.0,ICE
Lotus,Evija,2022,0.0,1972.0,1254.0,2.5,2700000.0,Electric
Mercedes-AMG,GT Black Series,2021,4.0,720.0,590.0,3.1,330000.0,ICE
Aston Martin,DB11,2021,4.0,503.0,513.0,3.9,205000.0,ICE
Bentley,Continental GT,2022,4.0,542.0,568.0,3.9,229000.0,ICE
Jaguar,F-Type,2022,2.0,296.0,295.0,5.4,62750.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100000.0,ICE
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,135000.0,ICE
Porsche,Boxster,2022,2.0,300.0,280.0,4.9,63000.0,ICE
Alfa Romeo,4C,2020,1.8,237.0,258.0,4.2,67150.0,ICE
Chevrolet,Camaro,2022,6.2,455.0,455.0,4.0,62195.0,ICE
Dodge,Challenger,2022,3.6,305.0,268.0,6.4,28000.0,ICE
Ford,GT,2022,3.5,660.0,550.0,2.9,500000.0,ICE
Audi,RS7,2022,4.0,591.0,590.0,3.5,115045.0,ICE
BMW,M4,2022,3.0,473.0,406.0,4.1,71800.0,ICE
Lamborghini,Aventador,2021,6.5,729.0,507.0,2.9,393695.0,ICE
Mercedes-Benz,AMG C 63,2021,4.0,469.0,479.0,3.8,69900.0,ICE
Nissan,370Z,2021,3.7,350.0,276.0,5.3,30090.0,ICE
Porsche,Cayman,2022,2.0,300.0,280.0,4.9,68000.0,ICE
BMW,i8,2022,1.5,369.0,184.0,4.2,147500.0,ICE
Chevrolet,Corvette Stingray,2021,6.2,495.0,470.0,2.9,58900.0,ICE
Porsche,Taycan Turbo S,2022,0.0,750.0,774.0,2.6,185000.0,Electric
Lamborghini,Aventador S,2021,6.5,729.0,507.0,2.9,417650.0,ICE
Ferrari,SF90 Stradale,2022,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,RS7,2022,4.0,591.0,590.0,3.5,115000.0,ICE
McLaren,GT,2022,4.0,620.0,465.0,3.1,208000.0,ICE
BMW,M5,2022,4.4,600.0,553.0,3.2,103500.0,ICE
Mercedes-Benz,SLS AMG,2021,4.0,730.0,590.0,2.9,250000.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,63000.0,ICE
Ford,GT,2022,3.5,660.0,550.0,2.8,500000.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,46100.0,ICE
Porsche,Panamera Turbo S,2022,4.0,630.0,604.0,3.1,180000.0,ICE
Lamborghini,Urus,2021,4.0,641.0,627.0,3.2,218000.0,ICE
Ferrari,Portofino,2022,3.9,591.0,561.0,3.4,250000.0,ICE
Audi,TT RS,2022,2.5,394.0,354.0,3.6,70000.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,3.1,200000.0,ICE
BMW,i8,2022,4.0,369.0,184.0,4.2,148500.0,Hybrid
Porsche,718 Cayman,2022,2.0,300.0,280.0,4.9,61500.0,ICE
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.8,417826.0,ICE
Ferrari,Portofino,2022,3.9,612.0,561.0,3.3,245000.0,ICE
Audi,TT RS,2022,2.5,394.0,354.0,3.6,67800.0,ICE
McLaren,GT,2022,4.0,620.0,465.0,3.1,211300.0,ICE
BMW,M4,2022,3.0,473.0,406.0,4.1,71800.0,ICE
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.5,222500.0,ICE
Chevrolet,Camaro SS,2022,6.2,455.0,455.0,4.0,43995.0,ICE
Ford,GT,2022,3.5,660.0,550.0,2.9,500000.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.8,45790.0,ICE
Porsche,911 Turbo S,2022,3.8,640.0,590.0,2.6,208000.0,ICE
McLaren,765LT,2021,4.0,755.0,590.0,2.8,358000.0,ICE
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,218009.0,ICE
Mercedes-AMG,GT Black Series,2021,4.0,720.0,590.0,3.1,325000.0,ICE
BMW,M5 Competition,2022,4.4,617.0,553.0,3.1,103500.0,ICE
Audi,RS7,2022,4.0,591.0,590.0,3.5,115000.0,ICE
Aston Martin,Vantage,2022,4.0,503.0,505.0,3.5,152995.0,ICE
Ferrari,F8 Spider,2021,3.9,710.0,568.0,2.9,274280.0,ICE
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,102550.0,ICE
Porsche,Taycan,2022,0.0,469.0,479.0,3.8,79900.0,Electric
Lamborghini,Aventador SVJ,2021,6.5,759.0,531.0,2.8,517770.0,ICE
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,RS6 Avant,2021,4.0,591.0,590.0,3.5,109000.0,ICE
McLaren,600LT Spider,2021,3.8,592.0,457.0,2.8,256500.0,ICE
BMW,M4,2022,3.0,473.0,406.0,3.8,71800.0,ICE
Mercedes-Benz,AMG GT R,2021,4.0,577.0,516.0,3.5,180000.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64695.0,ICE
Ford,GT,2022,3.5,660.0,550.0,3.0,500000.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,48000.0,ICE
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,690.0,642.0,3.0,190000.0,ICE
Lamborghini,Urus,2021,4.0,641.0,627.0,3.5,218000.0,ICE
Ferrari,Portofino M,2021,3.9,612.0,561.0,3.4,235000.0,ICE
Audi,TT RS,2022,2.5,394.0,354.0,3.6,67600.0,ICE
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000.0,ICE
BMW,M2 CS,2022,3.0,444.0,406.0,3.8,84595.0,ICE
Mercedes-Benz,SLS AMG Black Series,2021,6.2,622.0,468.0,3.5,335000.0,ICE
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.0,42000.0,ICE
Porsche,718 Boxster,2022,2.0,300.0,280.0,4.9,63000.0,ICE
Lamborghini,Aventador SVJ,2020,6.5,759.0,531.0,2.8,573966.0,ICE
Ferrari,SF90 Stradale,2022,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,TT RS Coupe,2022,2.5,394.0,354.0,3.5,68000.0,ICE
McLaren,GT,2020,4.0,612.0,465.0,3.1,210000.0,ICE
BMW,Z4 Roadster,2022,2.0,255.0,295.0,5.2,50000.0,ICE
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.6,200000.0,ICE
Chevrolet,Camaro SS Convertible,2022,6.2,455.0,455.0,4.0,49000.0,ICE
Ford,GT,2021,3.5,660.0,550.0,2.9,500000.0,ICE
Nissan,370Z Coupe,2020,3.7,332.0,270.0,5.0,30090.0,ICE
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,142086.0,ICE
Bentley,Continental GT,2022,6.0,626.0,664.0,3.3,225000.0,ICE
Bugatti,Chiron,2021,8.0,1479.0,1180.0,2.4,3000000.0,ICE
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,68000.0,ICE
Jaguar,F-Type,2022,2.0,296.0,295.0,5.4,63700.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100000.0,ICE
Maserati,GranTurismo,2022,4.7,454.0,384.0,4.7,150980.0,ICE
Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.2,304995.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,98395.0,ICE
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,689.0,642.0,3.0,190000.0,ICE
Lamborghini,Aventador SVJ,2021,6.5,759.0,531.0,2.8,517000.0,ICE
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,RS7,2022,4.0,591.0,590.0,3.5,117000.0,ICE
Mercedes-Benz,S63 AMG,2021,4.0,603.0,664.0,3.4,168000.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64500.0,ICE
Ford,GT,2021,3.5,660.0,550.0,2.8,500000.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.7,46000.0,ICE
Porsche,718 Cayman GT4,2022,4.0,414.0,309.0,4.2,102000.0,ICE
Mercedes-AMG,C63 S Coupe,2021,4.0,503.0,516.0,3.7,77500.0,ICE
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,147000.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,3.1,193000.0,ICE
BMW,M5,2022,4.4,600.0,553.0,3.2,103500.0,ICE
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,64000.0,ICE
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92950.0,ICE
Mercedes-AMG,GT 63 S,2021,4.0,630.0,664.0,3.1,162000.0,ICE
Audi,TT RS,2021,2.5,394.0,354.0,3.6,67600.0,ICE
Acura,NSX,2021,3.5,573.0,476.0,2.9,157500.0,ICE
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102000.0,ICE
Lamborghini,Aventador S,2021,6.5,730.0,509.0,2.9,417826.0,ICE
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,RS 5,2022,2.9,444.0,443.0,3.5,76700.0,ICE
McLaren,570S Spider,2020,3.8,562.0,443.0,3.1,208800.0,ICE
BMW,M2 Competition,2022,3.0,405.0,406.0,4.2,58900.0,ICE
Mercedes-Benz,C 63 AMG,2022,4.0,469.0,479.0,3.9,69000.0,ICE
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.0,42000.0,ICE
Ford,Mustang GT,2022,5.0,460.0,420.0,4.5,43000.0,ICE
Dodge,Challenger R/T,2021,5.7,372.0,400.0,5.1,35000.0,ICE
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,151000.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,105000.0,ICE
Alfa Romeo,4C Spider,2020,1.7,237.0,258.0,4.1,69000.0,ICE
Jaguar,F-Type,2022,2.0,296.0,295.0,5.4,62500.0,ICE
Tesla,Roadster,2022,0.0,1000.0,7376.0,1.9,200000.0,Electric
Koenigsegg,Jesko,2022,5.0,1600.0,1106.0,2.5,3000000.0,ICE
Bugatti,Chiron Super Sport 300+,2021,8.0,1578.0,1180.0,2.4,5200000.0,ICE
Rimac,Nevera,2021,0.0,1914.0,1696.0,1.85,2400000.0,Electric
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,102100.0,ICE
Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,63000.0,ICE
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,142086.0,ICE
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505.0,443.0,3.8,83250.0,ICE
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,65000.0,ICE
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,93050.0,ICE
Audi,RS 7 Sportback,2021,4.0,591.0,590.0,3.5,114000.0,ICE
BMW,M4 Competition,2022,3.0,503.0,479.0,3.8,74700.0,ICE
Mercedes-Benz,C63 S AMG,2022,4.0,503.0,516.0,3.9,77600.0,ICE
Ford,GT,2022,3.5,660.0,550.0,2.9,500000.0,ICE
McLaren,GT,2021,4.0,620.0,465.0,3.1,210000.0,ICE
Porsche,Panamera Turbo S,2022,4.0,630.0,604.0,2.9,181100.0,ICE
Lamborghini,Aventador S,2021,6.5,730.0,507.0,2.9,417826.0,ICE
Aston Martin,DBS Superleggera,2022,5.2,715.0,664.0,3.2,329100.0,ICE
Audi,TT RS,2022,2.5,394.0,354.0,3.6,67600.0,ICE
Mercedes-Benz,AMG C43 Coupe,2021,3.0,385.0,384.0,4.5,59900.0,ICE
BMW,i8,2022,1.5,369.0,184.0,4.2,147500.0,ICE
Chevrolet,Corvette Stingray,2021,6.2,490.0,465.0,2.9,59900.0,ICE
Porsche,Taycan,2022,0.0,469.0,263.0,3.8,81250.0,Electric
Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,517000.0,ICE
Ferrari,Roma,2021,3.9,611.0,560.0,3.3,222620.0,ICE
Audi,RS7,2022,4.0,591.0,590.0,3.5,115000.0,ICE
McLaren,GT,2021,4.0,612.0,465.0,3.1,210000.0,ICE
BMW,M2,2022,3.0,405.0,406.0,4.2,58900.0,ICE
Mercedes-Benz,C63 AMG,2021,4.0,469.0,479.0,3.9,77000.0,ICE
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.1,43995.0,ICE
Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.1,51720.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.8,46610.0,ICE
Porsche,Panamera,2022,2.9,325.0,331.0,5.3,88550.0,ICE
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,218009.0,ICE
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,Hybrid
Audi,RS6,2022,4.0,591.0,590.0,3.5,120000.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,3.1,192500.0,ICE
BMW,M4,2022,3.0,503.0,479.0,3.8,74000.0,ICE
Mercedes-Benz,AMG A45,2021,2.0,382.0,354.0,4.0,50000.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,63995.0,ICE
Acura,NSX,2021,3.5,573.0,476.0,2.7,157500.0,ICE
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,142086.0,ICE
Bentley,Continental GT,2021,4.0,542.0,568.0,3.3,202500.0,ICE
Bugatti,Chiron,2022,8.0,1479.0,1180.0,2.4,2900000.0,ICE
Ferrari,F8 Tributo,2022,3.9,710.0,568.0,2.8,275000.0,ICE
Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,517000.0,ICE
McLaren,GT,2021,4.0,612.0,465.0,3.1,201500.0,ICE
Mercedes-Benz,AMG GT R,2021,4.0,577.0,516.0,3.5,183000.0,ICE
Porsche,Taycan Turbo S,2021,0.0,750.0,774.0,2.6,185000.0,Electric
Audi,RS7,2021,4.0,591.0,590.0,3.5,114000.0,ICE
BMW,M4,2021,3.0,473.0,406.0,4.1,71800.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,63000.0,ICE
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797.0,707.0,3.5,80190.0,ICE
Ford,GT,2022,3.5,660.0,550.0,2.8,500000.0,ICE
Jaguar,F-Type,2021,3.0,380.0,339.0,4.4,62750.0,ICE
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92000.0,ICE
Lotus,Evija,2021,0.0,2000.0,1254.0,2.8,2800000.0,Electric
Maserati,GranTurismo,2021,0.0,550.0,0.0,2.8,200000.0,Electric
Nissan,370Z,2021,3.7,332.0,270.0,5.0,30090.0,ICE
Rolls-Royce,Ghost,2021,6.8,563.0,627.0,4.6,332500.0,ICE
Porsche,Taycan,2021,2.0,402.0,254.0,5.1,81250.0,ICE
Aston Martin,DB11,2021,4.0,630.0,516.0,3.7,198995.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,105000.0,ICE
Acura,NSX,2022,3.5,573.0,476.0,2.7,157500.0,ICE
Tesla,Roadster,2022,0.0,10000.0,7376.0,1.9,200000.0,Electric
Chevrolet,Camaro,2022,6.2,455.0,455.0,4.0,25000.0,ICE
Dodge,Charger,2021,6.2,797.0,707.0,3.3,72000.0,ICE
Jaguar,F-Type,2021,3.0,380.0,339.0,4.9,62750.0,ICE
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,93000.0,ICE
BMW,M4,2022,3.0,473.0,406.0,4.1,71800.0,ICE
Ford,GT,2021,3.5,660.0,550.0,2.9,500000.0,ICE
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,150980.0,ICE
McLaren,600LT,2021,3.8,592.0,457.0,2.8,256500.0,ICE
Mercedes-Benz,SLS AMG,2021,6.2,622.0,468.0,3.6,254995.0,ICE
Nissan,370Z,2021,3.7,332.0,270.0,5.2,30000.0,ICE
Audi,RS 7,2021,4.0,591.0,590.0,3.4,114000.0,ICE
Bentley,Continental GT,2021,4.0,542.0,568.0,3.9,220000.0,ICE
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.4,3000000.0,ICE
Porsche,Cayman,2022,2.0,300.0,280.0,4.5,59900.0,ICE
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,147000.0,ICE
Alfa Romeo,4C Spider,2020,1.7,237.0,258.0,4.1,67150.0,ICE
Audi,RS 5,2022,2.9,444.0,443.0,3.5,75100.0,ICE
BMW,M2,2022,3.0,405.0,406.0,4.0,58900.0,ICE
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,60695.0,ICE
Ferrari,F8 Spider,2022,3.9,710.0,568.0,2.9,274390.0,ICE
Jaguar,F-Type,2021,3.0,296.0,295.0,5.4,64700.0,ICE
Lamborghini,Aventador,2021,6.5,759.0,531.0,2.9,517770.0,ICE
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92950.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,99990.0,ICE
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,150800.0,ICE
McLaren,GT,2021,4.0,612.0,465.0,3.1,210000.0,ICE
Mercedes-Benz,AMG C 63,2021,4.0,469.0,479.0,3.8,67600.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.5,45790.0,ICE
Porsche,Panamera,2022,2.9,325.0,331.0,5.3,88800.0,ICE
Subaru,WRX STI,2021,2.5,310.0,290.0,5.2,38170.0,ICE
Tesla,Roadster,2022,0.0,10000.0,7376.0,1.9,200000.0,Electric
Porsche,718 Cayman,2022,2.0,300.0,280.0,4.9,61500.0,ICE
Lamborghini,Aventador,2021,6.5,729.0,509.0,2.9,393695.0,ICE
Ferrari,SF90 Stradale,2022,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,RS5 Coupe,2022,2.9,444.0,443.0,3.5,76350.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,3.1,202000.0,ICE
BMW,M2,2022,3.0,405.0,406.0,4.0,58900.0,ICE
Mercedes-Benz,SL,2022,3.0,429.0,384.0,4.4,96000.0,ICE
Chevrolet,Camaro,2021,6.2,455.0,455.0,4.0,25000.0,ICE
Ford,GT,2022,3.5,660.0,550.0,2.8,500000.0,ICE
Nissan,370Z,2021,3.7,332.0,270.0,5.3,33000.0,ICE
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,75250.0,ICE
Aston Martin,DB11,2022,4.0,630.0,516.0,3.7,201495.0,ICE
Bentley,Continental GT,2021,6.0,626.0,664.0,3.3,201000.0,ICE
Dodge,Challenger,2021,6.4,485.0,475.0,3.8,62000.0,ICE
Jaguar,F-Type R,2022,5.0,575.0,516.0,3.5,103200.0,ICE
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92950.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,99000.0,ICE
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,150000.0,ICE
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102500.0,ICE
Aston Martin,Vantage,2022,4.0,503.0,505.0,3.5,149995.0,ICE
Dodge,Charger SRT Hellcat,2022,6.2,717.0,650.0,3.5,78595.0,ICE
Audi,RS 7,2021,4.0,591.0,590.0,3.5,114000.0,ICE
Chevrolet,Camaro SS,2022,6.2,455.0,455.0,4.1,37500.0,ICE
Ford,Mustang GT,2022,5.0,460.0,420.0,4.0,38500.0,ICE
Jaguar,F-Type R,2022,5.0,575.0,516.0,3.5,103200.0,ICE
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92950.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,3.1,208800.0,ICE
Mercedes-Benz,AMG C63,2022,4.0,469.0,479.0,3.8,71450.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.9,47820.0,ICE
Porsche,Panamera GTS,2021,4.0,473.0,457.0,3.9,134150.0,ICE
Audi,TT RS,2022,2.5,394.0,354.0,3.6,67600.0,ICE
BMW,M4,2021,3.0,473.0,406.0,3.8,71800.0,ICE
Ferrari,F8 Tributo,2021,3.9,710.0,568.0,2.8,274280.0,ICE
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.9,393695.0,ICE
McLaren,GT,2021,4.0,612.0,465.0,3.1,250000.0,ICE
Mercedes-Benz,AMG GT 4-Door Coupe,2021,4.0,630.0,664.0,3.1,171200.0,ICE
Aston Martin,DBS Superleggera,2022,5.2,715.0,663.0,3.4,321000.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100500.0,ICE
Porsche,Taycan Turbo S,2021,0.0,750.0,774.0,2.6,185000.0,Electric
McLaren,570S,2021,3.8,562.0,443.0,3.1,195000.0,ICE
Lamborghini,Aventador SVJ,2021,6.5,759.0,531.0,2.8,517770.0,ICE
Ford,GT,2021,3.5,660.0,550.0,3.0,500000.0,ICE
Audi,RS7 Sportback,2022,4.0,591.0,590.0,3.5,114000.0,ICE
BMW,M4,2022,3.0,473.0,406.0,4.1,72800.0,ICE
Mercedes-AMG,C63 S,2022,4.0,503.0,516.0,3.7,78100.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,63000.0,ICE
Dodge,Charger Hellcat,2021,6.2,717.0,650.0,3.6,70000.0,ICE
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,78450.0,ICE
Tesla,Model S Plaid,2022,0.0,1020.0,1050.0,1.9,141190.0,Electric
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,ICE
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,689.0,642.0,3.0,190000.0,Hybrid
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000.0,ICE
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,222000.0,ICE
Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.0,52915.0,ICE
Porsche,911,2022,3.0,379.0,331.0,4.0,101200.0,ICE
Lamborghini,Huracan,2021,5.2,630.0,443.0,2.8,274390.0,ICE
Ferrari,488 GTB,2022,3.9,661.0,561.0,3.0,333750.0,ICE
Audi,R8,2022,5.2,562.0,406.0,3.2,142700.0,ICE
McLaren,720S,2021,4.0,710.0,568.0,2.7,298000.0,ICE
BMW,M8,2022,4.4,617.0,553.0,3.1,130000.0,ICE
Mercedes-Benz,AMG GT,2021,4.0,523.0,494.0,3.8,118500.0,ICE
Chevrolet,Corvette,2021,6.2,490.0,465.0,2.8,59900.0,ICE
Ford,Mustang Shelby GT500,2022,5.2,760.0,625.0,3.5,81000.0,ICE
Nissan,GT-R Nismo,2021,3.8,600.0,481.0,2.5,212000.0,ICE
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,64195.0,ICE
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,147000.0,ICE
Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.5,3900000.0,ICE
Koenigsegg,Jesko,2022,5.0,1280.0,1015.0,2.5,3000000.0,ICE
Pagani,Huayra,2021,6.0,764.0,740.0,2.8,2600000.0,ICE
Rimac,Nevera,2022,0.0,1914.0,1696.0,1.85,2400000.0,Electric
Lotus,Evija,2022,0.0,1973.0,1254.0,2.5,2000000.0,Electric
Pininfarina,Battista,2021,0.0,1872.0,1696.0,1.9,2500000.0,Electric
Maserati,MC20,2021,3.0,621.0,538.0,2.9,210000.0,ICE
Porsche,Cayman,2021,2.0,300.0,280.0,5.1,59900.0,ICE
Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,393695.0,ICE
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,RS 5,2021,2.9,444.0,443.0,3.5,75100.0,ICE
McLaren,GT,2022,4.0,612.0,465.0,3.1,210000.0,ICE
BMW,M2,2021,3.0,405.0,406.0,4.0,58900.0,ICE
Mercedes-Benz,SLS AMG,2021,6.3,622.0,468.0,3.6,254500.0,ICE
Chevrolet,Camaro,2021,6.2,455.0,455.0,4.0,25000.0,ICE
Ford,Mustang,2021,2.3,310.0,350.0,5.3,27205.0,ICE
Nissan,370Z,2021,3.7,332.0,270.0,5.1,30090.0,ICE
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,146000.0,ICE
Bugatti,Chiron,2021,8.0,1479.0,1180.0,2.4,3000000.0,ICE
Koenigsegg,Jesko,2022,5.0,1280.0,1106.0,2.5,3000000.0,ICE
Lotus,Evija,2021,0.0,1972.0,1254.0,2.0,2000000.0,Electric
McLaren,Senna,2021,4.0,789.0,590.0,2.7,1000000.0,ICE
Pagani,Huayra,2021,6.0,764.0,738.0,3.0,2600000.0,ICE
Rimac,Nevera,2021,0.0,1888.0,1696.0,1.85,2400000.0,Electric
